Title,Link
עוגיות ג'ינג'ר תפוזים בחמש דקות,http://www.bazekalim.com/2011/12/28/one-bowl-ginger-cookies/
מרק עגבניות צלויות,http://www.bazekalim.com/2011/11/09/roasted-tomato-soup/
קציצות עוף ברימונים על פירה בטטה,http://www.bazekalim.com/2011/09/30/pomegranate-meatballs/
"""בצק אלים"" – גיליון מס' 1",http://www.bazekalim.com/2011/09/22/bazekalim-first-issue/
הראיון המלא עם מרת'ה סטיוארט,http://www.bazekalim.com/2011/09/17/a-martha-moment/
בלוג דיי 2011,http://www.bazekalim.com/2011/08/31/blog-day-2011/
טארט טאטן משמשים,http://www.bazekalim.com/2011/07/05/tarte-tatin/
אם כבר ברצלונה – כמה המלצות,http://www.bazekalim.com/2011/06/17/barcelona/
פנה קוטה למאותגרי ג'לטין,http://www.bazekalim.com/2011/06/01/shortcut-panna-cotta/
שלושה שדרוגי ברביקיו קלים,http://www.bazekalim.com/2011/05/09/barbecue-thingies/
דוקטורט: המקרון המושלם,http://www.bazekalim.com/2011/04/16/macaron-101/
חיסול חמץ ממוקד: בוסטוק שקדים,http://www.bazekalim.com/2011/04/09/bostock/
עוגת פודינג שוקולד גינס,http://www.bazekalim.com/2011/03/16/chocolate-guinness-fudge-cake/
נשנושי חומוס פריכים,http://www.bazekalim.com/2011/03/03/crispy-hummus/
פריז בארבעה שלבים פשוטים,http://www.bazekalim.com/2011/02/20/things-to-do-in-paris/
בצק אלים טייק אווי – המנצח,http://www.bazekalim.com/2011/01/17/bazekalim-takeaway-winner/
בצק אלים טייק אווי,http://www.bazekalim.com/2011/01/10/bazekalim-takeaway/
עוף בקשיו ללא קשיו,http://www.bazekalim.com/2010/12/28/cashew-chicken/
מרק עוף רב תכליתי,http://www.bazekalim.com/2010/12/15/chicken-soup/
לביבות גבינה פשוטות,http://www.bazekalim.com/2010/12/01/cheese-fritters/
אין בסופר? מכינים חמאה ביתית!,http://www.bazekalim.com/2010/11/15/homemade-butter/
9 ביקורי חובה בסן פרנסיסקו,http://www.bazekalim.com/2010/10/23/san-francisco-guide/
סלט תירס וזוקיני של סוף קיץ,http://www.bazekalim.com/2010/10/04/raw-corn-zucchini-salad/
עוגת שוקולד פאדג' שפויה,http://www.bazekalim.com/2010/09/18/lighter-fudge-cake/
קדירת חומוס וכרובית מעולה,http://www.bazekalim.com/2010/08/14/chickpea-stew/
שרבט תפוזים של קיץ,http://www.bazekalim.com/2010/07/21/orange-sherbet/
עוגת גבינה עם בצק עוגיות,http://www.bazekalim.com/2010/06/18/cookie-dough-cheesecake/
קיש ארבעת הבצלים,http://www.bazekalim.com/2010/05/16/onion-quiche/
פסטה עם עגבניות טריות,http://www.bazekalim.com/2010/04/19/fresh-tomato-pasta/
מרק רימונים וטפיוקה,http://www.bazekalim.com/2010/03/26/pomegranate-tapioca-soup/
עוגת קצפת בקערה אחת,http://www.bazekalim.com/2010/03/19/whipped-cream-cake/
נתחי עוף צרובים על סלט פול ואבוקדו,http://www.bazekalim.com/2010/02/25/chicken-fava-salad/
טארט השוקולד הקל ביקום,http://www.bazekalim.com/2010/02/08/easy-chocolate-tart/
שניצל אפוי בקלי קלות,http://www.bazekalim.com/2010/01/25/baked-shnizel/
תחרות הצילומים – התמונות שלכם,http://www.bazekalim.com/2009/12/26/contest/
סלט בטטה קל וקליל,http://www.bazekalim.com/2009/12/20/sweet-potato-salad/
קנאלה – עוגת פודינג קריספית,http://www.bazekalim.com/2009/12/05/canneles/
פסטה קרבונרה,http://www.bazekalim.com/2009/10/30/pasta-carbonara/
אז מה יש לחפש באיטליה?,http://www.bazekalim.com/2009/10/24/italy-amore-mio/
פילה עוף ברוטב קוקוס ובוטנים,http://www.bazekalim.com/2009/09/14/easy-coconut-peanut-chicken/
קוקילידה ביתית,http://www.bazekalim.com/2009/08/25/icecream-sandwich/
קארי עוף למתחילים,http://www.bazekalim.com/2009/07/16/curry-in-a-hurry/
ריבועי שוקולד וולקנו,http://www.bazekalim.com/2009/06/21/chocolate-revel-bars/
צזיקי עם קרקרים ביתיים,http://www.bazekalim.com/2009/05/27/tzaziki-with-homemade-crackers/
